가격,카테고리,z_score,가격대
52400.0,가전,0.013233722258961245,중가
41700.0,식품,-0.498242578785345,중가
56000.0,식품,0.18531920672246613,중가
57500.0,식품,0.2570214919155932,중가
34400.0,식품,-0.8471937000585632,저가
39600.0,식품,-0.5986257780557228,저가
51000.0,식품,-0.05368841058795733,중가
47500.0,가전,-0.22099374270525377,중가
49900.0,가전,-0.10627008639625049,중가
43200.0,식품,-0.42654029359221796,중가
57000.0,식품,0.23312073018455085,중가
56200.0,의류,0.19487951141488308,중가
50500.0,가전,-0.07758917231899967,중가
59000.0,가전,0.32872377710872025,중가
53700.0,가전,0.07537570275967134,중가
43100.0,의류,-0.4313204459384264,중가
53000.0,의류,0.04191463633621206,중가
42300.0,식품,-0.4695616647080942,중가
57000.0,가전,0.23312073018455085,중가
49600.0,가전,-0.1206105434348759,중가
48500.0,식품,-0.17319221924316905,중가
44600.0,가전,-0.35961816074529934,중가
59800.0,식품,0.366964995878388,중가
48800.0,가전,-0.15885176220454364,중가
46600.0,가전,-0.26401511382112997,중가
47200.0,식품,-0.23533419974387917,중가
54300.0,의류,0.10405661683692216,중가
52900.0,식품,0.03713448399000359,중가
53300.0,의류,0.056255093374837466,중가
53400.0,가전,0.06103524572104594,중가
67100.0,식품,0.7159161171516062,고가
46700.0,의류,-0.25923496147492153,중가
45900.0,가전,-0.29747618024458927,중가
43500.0,식품,-0.41219983655359255,중가
54900.0,식품,0.13273753091417298,중가
59000.0,의류,0.32872377710872025,중가
49100.0,의류,-0.14451130516591826,중가
43300.0,의류,-0.42176014124600947,중가
43400.0,식품,-0.416979988899801,중가
55200.0,가전,0.1470779879527984,중가
55900.0,의류,0.18053905437625767,중가
54300.0,식품,0.10405661683692216,중가
44700.0,가전,-0.3548380083990909,중가
51900.0,가전,-0.010667039472081103,중가
50900.0,의류,-0.058468562934165795,중가
51700.0,식품,-0.02022734416449804,중가
57000.0,의류,0.23312073018455085,중가
51800.0,의류,-0.015447191818289572,중가
55400.0,식품,0.15663829264521534,중가
50500.0,의류,-0.07758917231899967,중가
52300.0,가전,0.008453569912752775,중가
55100.0,식품,0.14229783560658993,중가
38300.0,가전,-0.6607677585564329,저가
